Avant Browser|AvantBrowser|          #Based on Explorer core - http://www.avantbrowser.com/
Phoenix|Phoenix/|                    #Phoenix browser based on Mozilla core - http://www.mozilla.org/projects/phoenix/
Mozilla Firebird|Firebird/|          #New name of Phoenix browser 
Opera 5|Opera/5
Opera 5|Opera5
Opera 6|Opera/6
Opera 6|Opera6
Opera 7|Opera/7
Opera 7|Opera7
Pocket Internet Explorer 1|MSPIE1
Pocket Internet Explorer 2|MSPIE2
Explorer 6|MSIE6
Explorer 5.5|MSIE5.5
Explorer 5|MSIE5
Explorer 4|MSIE4
Netscape 6|Netscape6
Netscape 6|Netscape/6
Netscape 7|Netscape7
Netscape 7|Netscape/7
HTTrack|HTTrack
Konqueror|Konqueror
Galeon|Galeon
Netscape 4|Mozilla/4.
Netscape 3|Mozilla/3.
Mozilla 1|Mozilla/5.
WebCopier|Webcopier
Teleport|Teleport
